Molecular Weight,LogP,Number of H-bond Donors,Number of H-bond Acceptors,Topological Polar Surface Area (TPSA),Number of Rotatable Bonds,Molar Refractivity,Number of Aromatic Rings,Molecule Name,winer_index
299.3259999999997,1.9062999999999994,2,4,75.63000000000001,7,81.52300000000004,2,73941365,52.78388073296751
412.70199999999926,7.80080000000001,1,1,20.23,12,128.1228000000001,0,5280794,52.78388073296751
152.14900000000006,1.2132999999999998,1,3,46.53,4,40.04630000000002,1,1183,52.78388073296751
215.04600000000002,2.357300000000001,1,2,37.3,3,45.811300000000024,1,13131889,52.78388073296751
122.12299999999995,1.2046999999999999,1,2,37.3,2,33.4943,1,126,52.78388073296751
444.5309999999998,3.3183000000000025,2,4,84.5,11,126.55190000000002,3,10026486,52.78388073296751
175.18700000000007,1.9544999999999997,1,2,42.09,2,49.63820000000002,2,589098,52.78388073296751
178.14300000000003,1.2041999999999997,2,4,70.67000000000002,2,45.81360000000002,2,6918810,52.78388073296751
152.14900000000006,1.1787999999999998,1,3,46.53,3,39.446300000000015,1,7456,52.78388073296751
206.19700000000006,1.8101999999999996,0,4,48.67,4,55.58800000000003,2,8417,52.78388073296751
192.17000000000004,1.5071999999999994,1,4,59.67,3,50.70080000000002,2,5280460,52.78388073296751
182.17500000000007,1.2219,1,4,55.76,6,46.59830000000002,1,8655,52.78388073296751
226.23500000000004,2.5027,1,3,54.980000000000004,2,64.93920000000001,3,597266,52.78388073296751
164.16000000000005,1.49,2,3,57.53,3,44.776600000000016,1,637542,52.78388073296751
126.11499999999995,-0.6283800000000002,2,2,65.72,1,32.420399999999994,1,1135,52.78388073296751
135.13000000000002,-0.06489999999999985,2,4,80.48,1,36.0961,2,190,52.78388073296751
166.17600000000007,1.1077,1,3,46.53,4,43.82680000000003,1,518900,52.78388073296751
208.30100000000016,2.6290000000000004,1,2,37.3,7,61.54280000000004,0,6420999,52.78388073296751
267.2449999999998,-1.9799999999999986,4,9,139.54,6,62.74480000000002,2,60961,52.78388073296751
138.12200000000004,1.0904,2,3,57.53,2,35.0661,1,135,52.78388073296751
168.14800000000005,1.099,2,4,66.75999999999999,4,41.61810000000002,1,8468,52.78388073296751
122.12299999999995,1.3848,1,2,37.3,1,33.4013,1,243,52.78388073296751
306.26999999999975,1.251700000000001,6,7,130.61,7,74.2878,2,72277,52.78388073296751
194.19400000000007,-1.0293,0,6,61.82,3,51.19600000000002,2,2519,52.78388073296751
458.375,2.233200000000001,8,11,197.36999999999998,11,108.92089999999997,3,65064,52.78388073296751
290.27099999999973,1.546100000000001,5,6,110.38000000000001,6,72.62300000000002,2,9064,52.78388073296751
290.27099999999973,1.546100000000001,5,6,110.38000000000001,6,72.62300000000002,2,72276,52.78388073296751
472.402,2.536200000000001,7,11,186.36999999999998,12,113.80809999999998,3,9804842,52.78388073296751
458.375,2.233200000000001,8,11,197.36999999999998,11,108.92089999999997,3,199472,52.78388073296751
442.376,2.527600000000002,7,10,177.14,10,107.25609999999998,3,107905,52.78388073296751
596.4940000000014,-2.0790999999999973,10,16,269.43,16,135.44799999999998,3,133053374,52.78388073296751
448.37999999999994,-0.24449999999999872,7,11,190.27999999999997,11,107.30959999999999,3,5480982,52.78388073296751
133.10300000000004,-1.126999999999999,3,5,100.61999999999999,4,27.863999999999997,0,5960,52.78388073296751
147.13000000000008,-0.736899999999999,3,5,100.61999999999999,5,32.480999999999995,0,33032,52.78388073296751
89.09399999999997,-0.5818000000000001,2,3,63.31999999999999,3,21.285200000000003,0,5950,52.78388073296751
117.14799999999994,0.05429999999999985,2,3,63.31999999999999,5,30.44919999999999,0,6287,52.78388073296751
75.06699999999998,-0.9702999999999999,2,3,63.31999999999999,2,16.6902,0,750,52.78388073296751
174.20400000000012,-1.548099999999998,4,4,127.71999999999998,6,45.52199999999999,0,6322,52.78388073296751
105.09299999999996,-1.6093999999999995,3,4,83.55,4,22.697,0,5951,52.78388073296751
240.3060000000001,-0.8083999999999989,4,8,126.63999999999999,9,56.138400000000004,0,67678,52.78388073296751
149.2150000000001,0.15139999999999992,2,4,63.31999999999999,6,38.6102,0,6137,52.78388073296751
119.11999999999995,-1.2208999999999997,3,4,83.55,5,27.291999999999994,0,6288,52.78388073296751
165.1920000000001,0.6409999999999996,2,3,63.31999999999999,4,45.75720000000002,1,6140,52.78388073296751
181.1910000000001,0.34659999999999985,3,4,83.55,5,47.42200000000002,1,6057,52.78388073296751
131.17499999999998,0.44439999999999974,2,3,63.31999999999999,6,35.06619999999998,0,6306,52.78388073296751
155.15700000000007,-0.6358999999999995,3,4,92.0,4,37.9029,1,6274,52.78388073296751
146.1900000000001,-0.47269999999999884,3,4,89.33999999999999,7,38.51659999999998,0,5962,52.78388073296751
204.22900000000007,1.1222999999999999,3,3,79.11,4,57.613900000000015,2,6305,52.78388073296751
115.13199999999995,-0.17700000000000005,2,3,49.33,1,28.660499999999992,0,145742,52.78388073296751
131.17499999999998,0.4444000000000002,2,3,63.31999999999999,6,35.06619999999998,0,6106,52.78388073296751
228.37600000000023,4.7721000000000044,1,2,37.3,13,68.71380000000006,0,11005,52.78388073296751
256.43000000000023,5.552300000000005,1,2,37.3,15,77.94780000000007,0,985,52.78388073296751
284.48399999999947,6.332500000000007,1,2,37.3,17,87.18180000000008,0,5281,52.78388073296751
282.4679999999995,6.1085000000000065,1,2,37.3,16,87.08780000000007,0,445639,52.78388073296751
280.45199999999954,5.884500000000006,1,2,37.3,15,86.99380000000006,0,5280450,52.78388073296751
278.4359999999996,5.660500000000005,1,2,37.3,14,86.89980000000006,0,5280934,52.78388073296751
312.5379999999992,7.112700000000008,1,2,37.3,19,96.41580000000009,0,10467,52.78388073296751
27.026,0.13978,0,1,23.79,0,6.67,0,768,52.78388073296751
162.14100000000008,-2.1758000000000006,3,5,79.15,3,32.63339999999999,0,2724705,52.78388073296751
478.63299999999964,5.101800000000004,0,6,52.52,12,138.7229999999999,2,65033,52.78388073296751
342.2969999999997,-5.395599999999993,8,11,189.52999999999997,13,68.64140000000005,0,5988,52.78388073296751
398.6749999999993,7.698900000000009,1,1,20.23,12,123.64580000000008,0,22296544,52.78388073296751
222.3720000000002,3.777500000000003,1,1,20.23,6,68.17880000000004,0,605599,52.78388073296751
208.21300000000008,1.6215000000000002,1,4,55.76,7,56.308800000000026,1,5280802,52.78388073296751
286.32699999999966,2.248000000000001,4,4,80.92,9,81.08120000000002,2,5376471,52.78388073296751
210.2290000000001,2.0892,2,4,66.76,8,55.56210000000004,1,597630,52.78388073296751
196.20200000000008,1.6119999999999999,1,4,55.76,7,51.21530000000003,1,17198,52.78388073296751
128.12699999999995,0.30529999999999996,2,3,53.60000000000001,4,30.75359999999999,1,566112,52.78388073296751
114.19199999999992,-0.13640000000000008,0,2,6.48,2,34.99399999999999,0,7818,52.78388073296751
317.0009999999992,8.266900000000005,0,0,0.0,19,99.50000000000009,0,39150,52.78388073296751
176.30300000000017,3.791100000000003,0,0,0.0,7,59.50500000000004,1,595338,52.78388073296751
136.19400000000005,2.3120400000000005,0,1,9.23,4,42.46800000000002,1,70126,52.78388073296751
442.72799999999927,6.99720000000001,2,2,40.46,10,132.06160000000006,0,72326,52.78388073296751
151.11800000000008,-2.0212000000000003,3,5,103.83,7,30.982799999999994,0,31337,52.78388073296751
150.13000000000008,-2.7396999999999996,4,5,97.99000000000001,8,31.170199999999987,0,854,52.78388073296751
232.32700000000014,3.839780000000003,0,2,51.209999999999994,0,68.03200000000004,1,595368,52.78388073296751
269.3469999999997,5.501900000000004,1,0,15.79,2,89.17070000000002,4,622897,52.78388073296751
365.43599999999975,5.064760000000004,0,4,60.05,6,111.64200000000002,2,5379468,52.78388073296751
210.2290000000001,2.02426,2,4,66.75999999999999,7,55.829100000000025,1,596183,52.78388073296751
164.16000000000005,1.32562,1,3,54.37,4,43.618800000000014,1,81744,52.78388073296751
120.15499999999994,1.5097,0,2,25.78,2,36.74000000000001,1,62897,52.78388073296751
370.7919999999999,3.3561000000000014,2,6,92.42,3,95.42860000000003,3,620130,52.78388073296751
114.19199999999992,0.9527000000000001,1,2,24.950000000000003,5,34.21169999999999,0,545118,52.78388073296751
142.11000000000004,0.3594199999999999,2,4,70.67000000000002,3,33.044599999999996,1,70627,52.78388073296751
144.12600000000006,-0.2639000000000001,2,4,66.75999999999999,3,32.294599999999996,0,119838,52.78388073296751
152.14900000000006,1.2132999999999998,1,3,46.53,4,40.04630000000002,1,12127,52.78388073296751
102.08899999999996,-0.7058,1,3,46.53,1,21.582799999999995,0,545831,52.78388073296751
322.4079999999996,3.249900000000002,0,2,40.620000000000005,6,94.31050000000003,2,602378,52.78388073296751
440.7119999999993,7.63600000000001,0,2,34.14,8,130.13400000000007,0,565780,52.78388073296751
342.4789999999995,4.777900000000004,0,3,35.53,10,100.12600000000008,1,621440,52.78388073296751
180.2030000000001,1.4062999999999999,2,3,49.69,6,50.77860000000003,1,1549095,52.78388073296751
150.17700000000008,2.0438,1,2,29.46,4,44.74980000000002,1,332,52.78388073296751
128.12699999999995,0.7637,1,3,46.53,3,30.88279999999999,0,19309,52.78388073296751
124.13899999999994,1.4007999999999998,1,2,29.46,3,34.6588,1,9015,52.78388073296751
126.11099999999995,0.5844,1,3,50.440000000000005,3,30.01829999999999,1,237332,52.78388073296751
198.2220000000001,0.5009999999999999,1,3,66.48,5,49.323700000000024,0,4099,52.78388073296751
154.16500000000008,1.4094,1,3,38.69,5,41.21080000000002,1,7041,52.78388073296751
307.7769999999997,3.987700000000002,1,4,65.46,4,83.97640000000003,2,611189,52.78388073296751
360.66999999999916,8.930100000000003,0,0,0.0,12,115.46400000000011,0,294752,52.78388073296751
110.11199999999995,1.0977999999999999,2,2,40.46,2,29.771599999999996,1,289,52.78388073296751
284.48399999999947,6.030800000000006,0,2,26.3,17,86.94500000000008,0,12366,52.78388073296751
372.6809999999992,9.831799999999998,0,0,0.0,21,123.63700000000011,1,142491,52.78388073296751
366.71799999999905,10.388599999999993,0,0,0.0,25,122.15600000000012,0,12407,52.78388073296751
186.25100000000015,2.089,0,3,43.370000000000005,9,50.399000000000036,0,83577,52.78388073296751
102.08899999999996,-0.7058000000000002,1,3,46.53,1,21.582799999999995,0,95652,52.78388073296751
