,Compound Name/PubChem ID,Binding_Affintiy
0,73941365,-7.673
1,5280794,-7.402
2,1183,-6.512
3,13131889,-6.501
4,126,-6.613
5,10026486,-7.467
6,589098,-6.473
7,6918810,-6.453
8,7456,-6.518
9,8417,-6.505
10,5280460,-6.572
11,8655,-6.547
12,597266,-6.526
13,637542,-6.437
14,1135,-6.495
15,190,-6.351
16,518900,-6.457
17,6420999,-6.546
18,60961,-6.822
19,135,-6.609
20,8468,-6.391
21,243,-6.658
22,72277,-6.697
23,2519,-6.497
24,65064,-6.738
25,9064,-6.735
26,72276,-6.735
27,9804842,-6.792
28,199472,-6.738
29,107905,-6.925
30,133053374,-6.982
31,5480982,-5.789
32,5960,-6.575
33,33032,-6.502
34,5950,-6.405
35,6287,-6.325
36,750,-6.544
37,6322,-6.733
38,5951,-6.678
39,67678,-6.4
40,6137,-6.27
41,6288,-6.623
42,6140,-6.462
43,6057,-6.581
44,6306,-6.675
45,6274,-6.358
46,5962,-6.364
47,6305,-6.599
48,145742,-6.428
49,6106,-6.675
50,11005,-6.538
51,985,-6.752
52,5281,-6.758
53,445639,-6.726
54,5280450,-6.689
55,5280934,-6.732
56,10467,-6.833
57,768,-6.451
58,2724705,-6.527
59,65033,-7.388
60,5988,-6.703
61,22296544,-7.479
62,605599,-6.57
63,5280802,-6.551
64,5376471,-6.784
65,597630,-6.459
66,17198,-6.586
67,566112,-6.573
68,7818,-6.397
69,39150,-6.741
70,595338,-6.399
71,70126,-6.449
72,72326,-7.478
73,31337,-6.636
74,854,-6.686
75,595368,-6.712
76,622897,-6.734
77,5379468,-7.617
78,596183,-6.422
79,81744,-6.433
80,62897,-6.607
81,620130,-7.626
82,545118,-6.709
83,70627,-6.549
84,119838,-6.34
85,12127,-6.512
86,545831,-6.54
87,602378,-6.907
88,565780,-7.476
89,621440,-7.292
90,1549095,-6.551
91,332,-6.466
92,19309,-6.659
93,9015,-6.53
94,237332,-6.557
95,4099,-6.749
96,7041,-6.511
97,611189,-6.783
98,294752,-7.044
99,289,-6.616
100,12366,-6.747
101,142491,-7.078
102,12407,-6.985
103,83577,-6.559
104,95652,-6.54
105,880,-6.427
106,536269,-6.583
107,92271,-6.707
108,8158,-6.473
109,74956,-6.448
110,7940,-6.431
111,14057261,-6.555
112,23494,-6.881
113,15558419,-6.832
114,13821181,-6.63
115,5281416,-6.453
116,442858,-6.478
117,10212,-6.75
118,68081,-6.75
119,69894,-6.572
120,131750977,-7.531
121,5281426,-6.56
122,4114,-6.504
123,65090,-6.592
124,6636299,-6.474
125,13614904,-6.565
126,330573,-6.422
127,443529,-6.436
128,6826,-6.413
129,79023,-6.47
130,84532,-6.407
131,439263,-6.466
132,14529,-6.469
133,68140,-6.543
134,108261,-6.47
135,6951713,-6.616
136,94221,-6.422
137,6432305,-6.436
138,188454,-6.522
139,518472,-6.532
140,6616,-6.532
141,12303902,-6.568
142,177040,-6.476
143,6918391,-6.55
144,100768,-6.52
145,107217,-6.622
146,12306047,-6.569
147,154704157,-6.535
148,6473767,-5.893
149,14889736,-7.197
150,14889737,-7.197
151,76955678,-6.566
152,5316891,-6.508
153,129861908,-6.524
154,11732015,-6.079
155,10207,-6.541
156,5242842,-6.467
157,6442939,-7.105
158,14211227,-6.973
159,160190,-6.593
160,12305761,-5.815
161,14989,-5.815
162,10208,-6.437
163,76332505,-6.947
164,119104,-6.472
165,5281946,-6.747
166,641301,-6.531
167,5280442,-6.747
168,5280704,-6.464
169,5281607,-6.464
170,5281616,-6.449
171,11034432,-6.786
172,5318039,-7.781
173,5281654,-6.889
174,5281666,-6.94
175,5280863,-6.715
176,73202,-6.518
177,68071,-6.428
178,5280343,-6.678
179,5280805,-6.945
180,5281954,-6.616
181,11149005,-6.463
182,31211,-6.527
183,222284,-7.467
184,101712322,-7.551
185,101712321,-7.551
186,101712320,-7.208
187,6738085,-7.117
188,50900051,-7.553
189,91884987,-7.362
190,11624161,-7.293
191,21579286,-7.347
