,Binding_Affintiy
0,5.676
1,7.389
2,6.353
3,6.698
4,6.394
5,7.888
6,6.623
7,6.597
8,6.362
9,6.655
10,6.574
11,6.34
12,6.729
13,6.412
14,6.486
15,6.503
16,6.351
17,6.476
18,6.461
19,6.363
20,6.348
21,6.374
22,7.095
23,6.696
24,6.87
25,7.094
26,7.094
27,7.203
28,6.87
29,6.906
30,6.125
31,6.634
32,6.439
33,6.439
34,6.45
35,6.293
36,6.514
37,6.482
38,6.353
39,6.493
40,6.244
41,6.315
42,6.432
43,6.416
44,6.224
45,6.462
46,6.224
47,6.565
48,6.373
49,6.224
50,6.563
51,6.947
52,7.258
53,7.228
54,7.227
55,7.22
56,7.308
57,6.328
58,6.244
59,7.895
60,5.8
61,7.435
62,6.523
63,6.471
64,7.326
65,6.5
66,6.401
67,6.324
68,6.31
69,7.222
70,6.46
71,6.419
72,7.569
73,6.251
74,6.248
75,6.843
76,7.312
77,7.653
78,6.535
79,6.349
80,6.39
81,7.732
82,6.277
83,6.307
84,6.4
85,6.353
86,6.416
87,7.417
88,7.558
89,7.46
90,6.396
91,6.415
92,6.351
93,6.323
94,6.323
95,6.45
96,6.36
97,7.416
98,7.468
99,6.425
100,7.246
101,7.294
102,7.327
103,6.406
104,6.416
105,6.335
106,6.453
107,6.288
108,6.379
109,6.286
110,6.387
111,6.283
112,7.596
113,7.341
114,7.274
115,6.597
116,6.787
117,7.165
118,7.165
119,6.574
120,7.475
121,6.529
122,6.763
123,6.724
124,6.787
125,6.489
126,6.449
127,6.446
128,6.482
129,6.52
130,6.41
131,6.43
132,6.453
133,6.485
134,6.52
135,6.476
136,6.449
137,6.446
138,6.603
139,6.485
140,6.407
141,6.528
142,6.506
143,6.436
144,6.61
145,6.469
146,6.528
147,6.518
148,7.42
149,6.142
150,6.142
151,6.679
152,6.581
153,6.61
154,6.791
155,6.914
156,6.752
157,6.802
158,7.998
159,7.239
160,6.548
161,6.548
162,6.844
163,8.105
164,6.518
165,7.374
166,6.467
167,7.374
168,6.802
169,6.856
170,7.084
171,7.355
172,7.572
173,7.524
174,7.486
175,7.236
176,6.963
177,6.807
178,7.34
179,6.298
180,7.036
181,6.528
182,6.46
183,7.375
184,7.512
185,7.512
186,7.48
187,7.463
188,7.475
189,7.412
190,7.375
191,7.491
192,7.504
193,7.463
194,7.504
195,7.747
196,7.334
197,7.426
198,7.404
199,7.251
200,6.42
201,6.359
202,6.484
203,6.51
204,7.761
205,7.934
206,7.678
207,7.775
208,6.399
209,7.75
210,6.742
211,6.471
212,6.407
213,6.449
214,6.669
215,6.512
216,6.487
217,7.245
218,6.388
219,6.754
220,7.236
221,6.372
222,6.574
223,6.53
224,7.22
225,6.458
226,6.789
227,6.304
228,6.344
229,6.366
230,7.938
231,7.509
232,7.822
233,7.73
234,7.753
235,7.822
236,7.531
237,7.522
238,7.084
239,7.219
240,7.73
241,7.486
242,7.697
243,7.959
244,7.531
245,7.823
246,7.522
247,7.608
248,7.98
249,7.365
250,7.94
251,7.88
252,7.409
253,7.427
254,7.427
255,7.521
256,8.181
257,7.063
258,7.705
259,8.025
260,7.34
261,7.236
262,7.88
263,6.671
264,7.672
265,7.608
266,7.58
267,7.5
268,7.594
269,7.306
270,6.308
271,7.767
272,8.263
273,8.009
274,8.013
275,8.202
276,7.17
277,7.223
278,7.794
279,7.871
280,8.019
281,7.999
282,7.852
283,8.005
284,8.061
285,7.896
286,8.13
287,7.589
288,7.641
289,7.974
290,8.356
291,8.403
292,7.828
293,7.85
294,8.062
295,8.206
296,8.243
297,7.914
298,7.73
299,7.799
300,7.668
301,8.374
302,7.417
303,7.439
304,6.392
305,7.248
306,7.248
307,7.248
308,6.289
309,6.306
310,7.439
311,7.486
312,7.165
313,6.354
314,6.363
315,6.359
316,7.417
317,6.378
318,6.388
319,6.348
320,7.62
321,6.807
322,6.349
323,6.472
324,7.121
325,7.232
326,7.347
327,7.347
328,6.361
329,6.706
330,7.59
331,7.529
332,6.326
333,6.43
334,7.423
335,6.489
336,6.344
337,6.555
338,6.258
339,6.782
340,6.678
341,6.377
342,7.491
343,6.528
344,6.398
345,6.421
346,6.563
347,6.478
348,6.567
349,6.56
350,6.563
351,6.535
352,6.48
353,6.927
354,6.616
355,7.342
356,6.966
357,6.653
358,6.359
359,6.642
360,6.459
361,6.608
362,6.492
363,6.359
364,6.488
365,7.357
366,6.183
367,6.459
368,6.216
369,6.296
370,6.434
371,6.317
372,6.359
373,6.386
374,6.346
375,6.384
376,6.36
377,6.262
378,6.473
379,6.549
380,6.383
381,6.376
382,6.678
383,6.342
384,6.182
